address,denom,amount,token_name
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,499385285,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,uosmo,841405,OSMO
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/pbb,500029,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/pbb
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,97,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/208B2F137CDE510B44C41947C045CFDC27F996A9D990EA64460BDD5B3DBEB2ED,57,ibc/208B2F137CDE510B44C41947C045CFDC27F996A9D990EA64460BDD5B3DBEB2ED
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85,999999668224,ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604,55,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,9707,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/8E697BDABE97ACE8773C6DF7402B2D1D5104DD1EEABE12608E3469B7F64C15BA,46,ibc/8E697BDABE97ACE8773C6DF7402B2D1D5104DD1EEABE12608E3469B7F64C15BA
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F,18,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,607904981,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/D805F1DA50D31B96E4282C1D4181EDDFB1A44A598BFF5666F4B43E4B8BEA95A5,70,ibc/D805F1DA50D31B96E4282C1D4181EDDFB1A44A598BFF5666F4B43E4B8BEA95A5
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/DD3938D8131F41994C1F01F4EB5233DEE9A0A5B787545B9A07A321925655BF38,98,ibc/DD3938D8131F41994C1F01F4EB5233DEE9A0A5B787545B9A07A321925655BF38
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/E09ED39F390EC51FA9F3F69BEA08B5BBE6A48B3057B2B1C3467FAAE9E58B021B,46613452775874,ibc/E09ED39F390EC51FA9F3F69BEA08B5BBE6A48B3057B2B1C3467FAAE9E58B021B
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,78,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44
osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,uosmo,1060469,OSMO
osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,14994008,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,294794508,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,uosmo,2647149,OSMO
