Group,wallet_address,token_name,token_address,amount,denom
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,52802604185,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,xprt,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,507136198,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,nom,ibc/B9606D347599F0F2FDF82BA3EE339000673B7D274EA50F59494DC51EFCD42163,7.80374E+20,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,2035403471,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,osmo,uosmo,3210591,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,wbtc,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc,214964,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,orai,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D,30194,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,70735099,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,usdt,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB,69988,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,tia,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,38431,
3,osmo1cys322uqws90eys0szfwyhkamlcukwm9qvf5rm,osmo,uosmo,2892063,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,akt,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,65,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,atom,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,69,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,492746094,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,grav,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,5,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,eth,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3.66394E+11,
3,osmo1aqpwydywdl4qcjjet7ch4lhxe2te6ldjrye0py,osmo,uosmo,1765843,
